chunk_id,article_id,chunk_text,chunk_index,source_url,title,category
b4d2a09363818472_0000,b4d2a09363818472,水稻苗期是植株扎根、长叶、构建生长基础的关键阶段，此时期幼苗抗逆性弱、生长环境敏感，易受立枯病、青枯病、恶苗病、苗瘟病四大病害侵袭，一旦防控不及时，将导致幼苗枯萎、死苗，严重影响后续移栽成活率与稻田整体产量。为科学、高效防控四大病害，需遵循“预防为主、综合防治”的植保原则，结合病害发生规律、致病特点及苗期生长需求，制定针对性防治措施，具体要点如下： 一、水稻立枯病防治要点 水稻立枯病由腐霉菌、镰刀菌等真菌引起，多发生于旱育秧田，低温（日均温10-15℃）、高湿、土壤板结是主要诱发因素，病苗表现为叶片发黄、茎基腐烂，后期整株枯萎、根系发黑坏死，严重时连片死苗。其防治需从“土壤消毒、环境调控、药剂干预”三方面入手，层层递进阻断病害传播。 1. 播前预防：核心是做好土壤消毒，减少初侵染源。一是选用无病育苗土，优先选择前茬为非禾本科作物（如大豆、蔬菜）的田土，避免使用连作水稻田土；二是土壤消毒处理，播前7-10天，每平方米育苗土用50%多菌灵可湿性粉剂8-10克，或30%恶霉灵水剂5-8毫升，与细土拌匀后均匀撒施于苗床表面，再翻耕入土，深度5-8厘米，确保药剂与土壤充分融合；三是种子处理，播前用25%甲霜灵可湿性粉剂800倍液，或40%拌种双可湿性粉剂500倍液浸种24-36小时，捞出晾干后播种，杀灭种子携带的病菌。 2. 苗期管理：重点调控温湿度，增强幼苗抗性。一是温度管理，播种后至出苗前，苗床温度保持在25-30℃，出苗后白天温度控制在20-25℃、夜间不低于12℃，避免低温持续胁迫；二是湿度管理，采用“见干见湿”浇水方式，出苗后若苗床不干旱（表土下2厘米处土壤手握成团、落地即散）不浇水，浇水时一次性浇透，避免频繁浇水导致土壤高湿；三是土壤管理，出苗后结合除草浅划苗床，深度1-2厘米，破除土壤板结，促进根系透气，减少病菌滋生环境。,0,https://www.agri.cn/sc/scdt/202512/t20251205_8792088.htm,中国农业农村信息网_水稻苗期四大病害防治措施要点,病虫害
b4d2a09363818472_0001,b4d2a09363818472,地即散）不浇水，浇水时一次性浇透，避免频繁浇水导致土壤高湿；三是土壤管理，出苗后结合除草浅划苗床，深度1-2厘米，破除土壤板结，促进根系透气，减少病菌滋生环境。 3. 发病后防治：坚持“早发现、早用药”，避免病害扩散。当苗床出现零星病苗时，立即喷施药剂，可选用30%恶霉灵水剂1500倍液，或58%甲霜·锰锌可湿性粉剂800倍液，或72.2%霜霉威盐酸盐水剂1000倍液，每平方米苗床喷施药液200-300毫升，间隔7-10天喷施1次，连续喷施2-3次；若病苗较多，可在药剂中加入0.2%磷酸二氢钾溶液，补充幼苗营养，增强抗病能力，同时及时拔除病苗，带出苗床外集中烧毁，防止病菌扩散传播。 二、水稻青枯病防治要点 水稻青枯病分为生理性与病理性两类，苗期以生理性青枯为主，多因环境骤变（如高温突降、干旱后突浇大水）导致幼苗根系吸水能力失衡，叶片快速失水青枯；病理性青枯由细菌或真菌引起，症状与生理性相似，但病程稍慢，茎基可见水渍状腐烂。其防治核心是“稳定环境、保护根系、区分类型用药”，避免环境胁迫与病菌侵染叠加。 1. 播前预防：聚焦“培育壮根”，提升幼苗抗逆能力。一是优化育苗基质，采用“土+腐熟有机肥+珍珠岩”按6:3:1比例配制育苗基质，每立方米基质加入100克磷酸二氢钾、50克硫酸锌，补充营养，改善基质透气性，促进根系发育；二是种子筛选与处理，剔除瘪粒、病粒，选用饱满种子，播前用10%浸种灵乳油2000倍液浸种48小时，杀灭种子携带的病菌，同时促进种子萌发整齐，减少弱苗（弱苗易受青枯病侵袭）；三是苗床选址，选择地势较高、排水良好、通风顺畅的地块做苗床，避免低洼积水地块，苗床四周开挖深20-30厘米的排水沟，确保雨后无积水。 2. 苗期管理：关键是“避免环境骤变”，维持幼苗生长稳定。,1,https://www.agri.cn/sc/scdt/202512/t20251205_8792088.htm,中国农业农村信息网_水稻苗期四大病害防治措施要点,病虫害
b4d2a09363818472_0002,b4d2a09363818472,良好、通风顺畅的地块做苗床，避免低洼积水地块，苗床四周开挖深20-30厘米的排水沟，确保雨后无积水。 2. 苗期管理：关键是“避免环境骤变”，维持幼苗生长稳定。一是温度调控，避免温差过大，高温天气（白天温度超过30℃）时，及时打开苗床遮阳网或通风口，降低苗床温度；低温来临前，覆盖塑料薄膜或无纺布保温，防止温度骤降；二是水分管理，严格控制浇水时机与量，干旱时循序渐进浇水，先浇少量水湿润表土，间隔1-2小时后再浇透，避免干旱后突浇大水；雨后及时检查苗床，若有积水，立即疏通排水沟，排除积水，同时浅划苗床，降低土壤湿度；三是适时炼苗，出苗后7-10天，逐渐揭开苗床覆盖物（如塑料薄膜），每天增加1-2小时通风时间，逐步提升幼苗对外部环境的适应能力，避免炼苗过急导致幼苗失水青枯。 3. 发病后防治：区分类型精准用药，快速缓解症状。一是生理性青枯，无需喷施杀菌剂，重点是“补水+稳温”，立即用喷雾器喷施温水（水温接近苗床温度，约20-25℃），每平方米喷施300-400毫升，同时覆盖遮阳网或无纺布，避免强光直射，待幼苗恢复正常（叶片舒展、不再青枯）后，再逐渐增加通风；二是病理性青枯，立即喷施杀菌剂，可选用20%噻唑锌悬浮剂800倍液，或47%春雷·王铜可湿性粉剂1000倍液，或50%氯溴异氰尿酸可溶性粉剂1500倍液，每平方米喷施药液250毫升，间隔5-7天喷施1次，连续喷施2次，同时喷施0.3%尿素溶液，补充幼苗营养，促进恢复。 三、水稻恶苗病防治要点 水稻恶苗病由赤霉菌引起，属于“种传病害”，种子携带的病菌是唯一初侵染源，苗期发病后，病苗表现为植株细长、叶色浅绿、茎节处有白色霉层，根系发育不良，易倒伏、早枯，严重时无法移栽。其防治核心是“彻底杀灭种子带菌”，切断初侵染途径，辅以苗期监测，防止病害扩散。 1. 播前预防：重中之重是“种子消毒”，做到“无病下种”。,2,https://www.agri.cn/sc/scdt/202512/t20251205_8792088.htm,中国农业农村信息网_水稻苗期四大病害防治措施要点,病虫害
b4d2a09363818472_0003,b4d2a09363818472,早枯，严重时无法移栽。其防治核心是“彻底杀灭种子带菌”，切断初侵染途径，辅以苗期监测，防止病害扩散。 1. 播前预防：重中之重是“种子消毒”，做到“无病下种”。一是严格种子精选，采用风选、筛选结合的方式，剔除瘪粒、破损粒、变色粒（恶苗病病菌易附着在变色粒上），确保种子纯度与饱满度；二是种子预处理，播前将种子晒2-3天，每天晒3-4小时（避开正午强光），通过紫外线杀灭种子表面部分病菌，同时提升种子发芽率；三是科学浸种消毒，采用“浸种灵+温汤浸种”组合方式，先将种子放入55℃温水中浸泡10分钟（不断搅拌，避免局部高温烫伤种子），捞出后立即放入25%咪鲜胺乳油2000倍液，或10%氰烯菌酯悬浮剂1000倍液中，浸种48-60小时（浸种期间每天搅拌1-2次，确保种子均匀接触药剂），浸种后捞出晾干至种子含水量20%左右（手摸种子不粘手）再播种，严禁浸种后直接播种（种子带水易导致病菌扩散）。 2. 苗期管理：重点是“监测病苗”，及时清除传染源。一是出苗后定期巡查，从出苗至移栽前，每3-5天巡查1次苗床，重点观察幼苗株高、叶色，若发现“株高明显高于正常苗、叶色浅绿、茎节有白霉”的病苗，立即拔除，带出苗床外集中烧毁或深埋（深度不低于50厘米），避免病苗残体中的病菌污染土壤或健康幼苗；二是避免苗床高温高湿，出苗后保持苗床通风良好，白天温度控制在20-25℃，夜间不低于10℃，浇水时避免过量，保持苗床表土湿润即可，防止高温高湿环境促进病菌萌发；三是禁止移栽病苗，移栽前再次巡查苗床，确保无病苗带入大田，若发现少量病苗，需扩大拔除范围（病苗周围10厘米内的幼苗一并拔除），防止漏拔导致大田发病。 3. 发病后防治：若苗期病苗较多，需结合药剂防控，减少病菌残留。,3,https://www.agri.cn/sc/scdt/202512/t20251205_8792088.htm,中国农业农村信息网_水稻苗期四大病害防治措施要点,病虫害
b4d2a09363818472_0004,b4d2a09363818472,田，若发现少量病苗，需扩大拔除范围（病苗周围10厘米内的幼苗一并拔除），防止漏拔导致大田发病。 3. 发病后防治：若苗期病苗较多，需结合药剂防控，减少病菌残留。可选用25%咪鲜胺乳油2500倍液，或40%氟硅唑乳油8000倍液，或12.5%烯唑醇可湿性粉剂3000倍液，对苗床进行全面喷施，每平方米喷施药液200毫升，重点喷施幼苗茎基与叶片，间隔7天喷施1次，连续喷施1-2次；喷施后及时通风，降低苗床湿度，避免药剂残留对幼苗产生药害，同时严格禁止病苗移栽，防止病菌带入大田引发二次侵染。 四、水稻苗瘟病防治要点 水稻苗瘟病由稻瘟病菌引起，可通过种子、土壤、气流传播，苗期（3-4叶期）最易感病，低温高湿（日均温18-22℃、相对湿度85%以上）、阴雨连绵天气易诱发病害，病苗表现为叶片出现暗绿色水渍状斑点，后期斑点扩大为褐色梭形斑，严重时叶片枯萎、整株死亡，病菌可随幼苗带入大田，引发大田稻瘟病。其防治核心是“种子消毒+苗期控湿+药剂保护”，兼顾初侵染源阻断与田间发病防控。 1. 播前预防：聚焦“切断传播途径”，减少病菌初始数量。一是种子彻底消毒，采用“三环唑浸种”方式，播前将种子放入20%三环唑可湿性粉剂1000倍液中，浸种36-48小时，捞出晾干后播种，三环唑对稻瘟病菌有特效，可有效杀灭种子携带的病菌；二是苗床土壤处理，若苗床土壤曾发生过苗瘟病，播前每平方米用40%稻瘟灵乳油5-8毫升，与细土拌匀后撒施于苗床表面，翻耕入土，深度5厘米，杀灭土壤中的残留病菌；三是合理安排播种期，根据当地气候特点，避开低温阴雨时段播种，如南方稻区可选择日均温稳定在18℃以上时播种，北方稻区可适当推迟播种，减少低温高湿环境对病害的诱发。 2. 苗期管理：关键是“调控温湿度+增强苗势”，降低病害发生风险。,4,https://www.agri.cn/sc/scdt/202512/t20251205_8792088.htm,中国农业农村信息网_水稻苗期四大病害防治措施要点,病虫害
b4d2a09363818472_0005,b4d2a09363818472,"区可选择日均温稳定在18℃以上时播种，北方稻区可适当推迟播种，减少低温高湿环境对病害的诱发。 2. 苗期管理：关键是“调控温湿度+增强苗势”，降低病害发生风险。一是湿度管理，严格控制苗床湿度，浇水时选择晴天上午进行，避免阴雨天气浇水，浇水后及时通风，降低苗床相对湿度；若遇连续阴雨，需覆盖塑料薄膜防雨，同时打开薄膜两端通风，防止苗床内湿度过高；二是施肥管理，苗期施肥以“薄肥勤施”为原则，出苗后10天左右，每平方米苗床喷施0.2%磷酸二氢钾+0.1%尿素混合液200毫升，促进幼苗健壮生长，增强抗病能力，避免过量施用氮肥（氮肥过多易导致幼苗徒长、抗病性下降）；三是通风管理，出苗后每天保持苗床通风2-3小时，若遇低温，可在中午气温较高时通风，既能降低湿度，又能提升苗床温度，抑制病菌萌发。 3. 发病后防治：坚持“药剂快速干预”，防止病害蔓延。当苗床出现零星病斑时，立即喷施药剂防控，可选用75%三环唑可湿性粉剂1500倍液，或40%稻瘟灵乳油800倍液，或25%稻瘟酰胺悬浮剂1000倍液，每平方米苗床喷施药液250-300毫升，重点喷施叶片正反面及茎基，确保药剂均匀覆盖；若遇阴雨天气，可选用75%三环唑可湿性粉剂（每亩用量30克）与细土拌匀后撒施，增强药剂附着力；间隔5-7天喷施1次，连续喷施2-3次，直至病斑不再扩展、幼苗恢复正常；移栽前3-5天，再喷施1次药剂（即“送嫁药”），带药移栽，防止幼苗带入大田后引发大田稻瘟病。
水稻苗期是植株扎根、长叶、构建生长基础的关键阶段，此时期幼苗抗逆性弱、生长环境敏感，易受立枯病、青枯病、恶苗病、苗瘟病四大病害侵袭，一旦防控不及时，将导致幼苗枯萎、死苗，严重影响后续移栽成活率与稻田整体产量。为科学、高效防控四大病害，需遵循“预防为主、综合防治”的植保原则，结合病害发生规律、致病特点及苗期生长需求，制定针对性防治措施，具体要点如下：",5,https://www.agri.cn/sc/scdt/202512/t20251205_8792088.htm,中国农业农村信息网_水稻苗期四大病害防治措施要点,病虫害
b4d2a09363818472_0006,b4d2a09363818472,"与稻田整体产量。为科学、高效防控四大病害，需遵循“预防为主、综合防治”的植保原则，结合病害发生规律、致病特点及苗期生长需求，制定针对性防治措施，具体要点如下：
水稻立枯病由腐霉菌、镰刀菌等真菌引起，多发生于旱育秧田，低温（日均温10-15℃）、高湿、土壤板结是主要诱发因素，病苗表现为叶片发黄、茎基腐烂，后期整株枯萎、根系发黑坏死，严重时连片死苗。其防治需从“土壤消毒、环境调控、药剂干预”三方面入手，层层递进阻断病害传播。
1. 播前预防：核心是做好土壤消毒，减少初侵染源。一是选用无病育苗土，优先选择前茬为非禾本科作物（如大豆、蔬菜）的田土，避免使用连作水稻田土；二是土壤消毒处理，播前7-10天，每平方米育苗土用50%多菌灵可湿性粉剂8-10克，或30%恶霉灵水剂5-8毫升，与细土拌匀后均匀撒施于苗床表面，再翻耕入土，深度5-8厘米，确保药剂与土壤充分融合；三是种子处理，播前用25%甲霜灵可湿性粉剂800倍液，或40%拌种双可湿性粉剂500倍液浸种24-36小时，捞出晾干后播种，杀灭种子携带的病菌。
2. 苗期管理：重点调控温湿度，增强幼苗抗性。一是温度管理，播种后至出苗前，苗床温度保持在25-30℃，出苗后白天温度控制在20-25℃、夜间不低于12℃，避免低温持续胁迫；二是湿度管理，采用“见干见湿”浇水方式，出苗后若苗床不干旱（表土下2厘米处土壤手握成团、落地即散）不浇水，浇水时一次性浇透，避免频繁浇水导致土壤高湿；三是土壤管理，出苗后结合除草浅划苗床，深度1-2厘米，破除土壤板结，促进根系透气，减少病菌滋生环境。
3. 发病后防治：坚持“早发现、早用药”，避免病害扩散。",6,https://www.agri.cn/sc/scdt/202512/t20251205_8792088.htm,中国农业农村信息网_水稻苗期四大病害防治措施要点,病虫害
b4d2a09363818472_0007,b4d2a09363818472,"；三是土壤管理，出苗后结合除草浅划苗床，深度1-2厘米，破除土壤板结，促进根系透气，减少病菌滋生环境。
3. 发病后防治：坚持“早发现、早用药”，避免病害扩散。当苗床出现零星病苗时，立即喷施药剂，可选用30%恶霉灵水剂1500倍液，或58%甲霜·锰锌可湿性粉剂800倍液，或72.2%霜霉威盐酸盐水剂1000倍液，每平方米苗床喷施药液200-300毫升，间隔7-10天喷施1次，连续喷施2-3次；若病苗较多，可在药剂中加入0.2%磷酸二氢钾溶液，补充幼苗营养，增强抗病能力，同时及时拔除病苗，带出苗床外集中烧毁，防止病菌扩散传播。
水稻青枯病分为生理性与病理性两类，苗期以生理性青枯为主，多因环境骤变（如高温突降、干旱后突浇大水）导致幼苗根系吸水能力失衡，叶片快速失水青枯；病理性青枯由细菌或真菌引起，症状与生理性相似，但病程稍慢，茎基可见水渍状腐烂。其防治核心是“稳定环境、保护根系、区分类型用药”，避免环境胁迫与病菌侵染叠加。
1. 播前预防：聚焦“培育壮根”，提升幼苗抗逆能力。一是优化育苗基质，采用“土+腐熟有机肥+珍珠岩”按6:3:1比例配制育苗基质，每立方米基质加入100克磷酸二氢钾、50克硫酸锌，补充营养，改善基质透气性，促进根系发育；二是种子筛选与处理，剔除瘪粒、病粒，选用饱满种子，播前用10%浸种灵乳油2000倍液浸种48小时，杀灭种子携带的病菌，同时促进种子萌发整齐，减少弱苗（弱苗易受青枯病侵袭）；三是苗床选址，选择地势较高、排水良好、通风顺畅的地块做苗床，避免低洼积水地块，苗床四周开挖深20-30厘米的排水沟，确保雨后无积水。
2. 苗期管理：关键是“避免环境骤变”，维持幼苗生长稳定。",7,https://www.agri.cn/sc/scdt/202512/t20251205_8792088.htm,中国农业农村信息网_水稻苗期四大病害防治措施要点,病虫害
b4d2a09363818472_0008,b4d2a09363818472,"良好、通风顺畅的地块做苗床，避免低洼积水地块，苗床四周开挖深20-30厘米的排水沟，确保雨后无积水。
2. 苗期管理：关键是“避免环境骤变”，维持幼苗生长稳定。一是温度调控，避免温差过大，高温天气（白天温度超过30℃）时，及时打开苗床遮阳网或通风口，降低苗床温度；低温来临前，覆盖塑料薄膜或无纺布保温，防止温度骤降；二是水分管理，严格控制浇水时机与量，干旱时循序渐进浇水，先浇少量水湿润表土，间隔1-2小时后再浇透，避免干旱后突浇大水；雨后及时检查苗床，若有积水，立即疏通排水沟，排除积水，同时浅划苗床，降低土壤湿度；三是适时炼苗，出苗后7-10天，逐渐揭开苗床覆盖物（如塑料薄膜），每天增加1-2小时通风时间，逐步提升幼苗对外部环境的适应能力，避免炼苗过急导致幼苗失水青枯。
3. 发病后防治：区分类型精准用药，快速缓解症状。一是生理性青枯，无需喷施杀菌剂，重点是“补水+稳温”，立即用喷雾器喷施温水（水温接近苗床温度，约20-25℃），每平方米喷施300-400毫升，同时覆盖遮阳网或无纺布，避免强光直射，待幼苗恢复正常（叶片舒展、不再青枯）后，再逐渐增加通风；二是病理性青枯，立即喷施杀菌剂，可选用20%噻唑锌悬浮剂800倍液，或47%春雷·王铜可湿性粉剂1000倍液，或50%氯溴异氰尿酸可溶性粉剂1500倍液，每平方米喷施药液250毫升，间隔5-7天喷施1次，连续喷施2次，同时喷施0.3%尿素溶液，补充幼苗营养，促进恢复。
水稻恶苗病由赤霉菌引起，属于“种传病害”，种子携带的病菌是唯一初侵染源，苗期发病后，病苗表现为植株细长、叶色浅绿、茎节处有白色霉层，根系发育不良，易倒伏、早枯，严重时无法移栽。其防治核心是“彻底杀灭种子带菌”，切断初侵染途径，辅以苗期监测，防止病害扩散。
1. 播前预防：重中之重是“种子消毒”，做到“无病下种”。",8,https://www.agri.cn/sc/scdt/202512/t20251205_8792088.htm,中国农业农村信息网_水稻苗期四大病害防治措施要点,病虫害
b4d2a09363818472_0009,b4d2a09363818472,"早枯，严重时无法移栽。其防治核心是“彻底杀灭种子带菌”，切断初侵染途径，辅以苗期监测，防止病害扩散。
1. 播前预防：重中之重是“种子消毒”，做到“无病下种”。一是严格种子精选，采用风选、筛选结合的方式，剔除瘪粒、破损粒、变色粒（恶苗病病菌易附着在变色粒上），确保种子纯度与饱满度；二是种子预处理，播前将种子晒2-3天，每天晒3-4小时（避开正午强光），通过紫外线杀灭种子表面部分病菌，同时提升种子发芽率；三是科学浸种消毒，采用“浸种灵+温汤浸种”组合方式，先将种子放入55℃温水中浸泡10分钟（不断搅拌，避免局部高温烫伤种子），捞出后立即放入25%咪鲜胺乳油2000倍液，或10%氰烯菌酯悬浮剂1000倍液中，浸种48-60小时（浸种期间每天搅拌1-2次，确保种子均匀接触药剂），浸种后捞出晾干至种子含水量20%左右（手摸种子不粘手）再播种，严禁浸种后直接播种（种子带水易导致病菌扩散）。
2. 苗期管理：重点是“监测病苗”，及时清除传染源。一是出苗后定期巡查，从出苗至移栽前，每3-5天巡查1次苗床，重点观察幼苗株高、叶色，若发现“株高明显高于正常苗、叶色浅绿、茎节有白霉”的病苗，立即拔除，带出苗床外集中烧毁或深埋（深度不低于50厘米），避免病苗残体中的病菌污染土壤或健康幼苗；二是避免苗床高温高湿，出苗后保持苗床通风良好，白天温度控制在20-25℃，夜间不低于10℃，浇水时避免过量，保持苗床表土湿润即可，防止高温高湿环境促进病菌萌发；三是禁止移栽病苗，移栽前再次巡查苗床，确保无病苗带入大田，若发现少量病苗，需扩大拔除范围（病苗周围10厘米内的幼苗一并拔除），防止漏拔导致大田发病。
3. 发病后防治：若苗期病苗较多，需结合药剂防控，减少病菌残留。",9,https://www.agri.cn/sc/scdt/202512/t20251205_8792088.htm,中国农业农村信息网_水稻苗期四大病害防治措施要点,病虫害
